Method,K,gamma,time_cost
Original,2,10,24.33465313911438
Original,2,20,23.816566944122314
Original,2,30,15.418254137039185
Original,2,40,15.078259944915771
Original,2,50,15.316601991653442
Original,2,60,15.447062015533447
Original,2,70,15.617319107055664
Original,2,80,15.725275993347168
Original,2,90,14.76456904411316
Original,2,100,14.305608034133911
Original,2,110,14.09807276725769
Original,2,120,15.423632144927979
Original,2,130,15.495025157928467
Original,2,140,15.632292985916138
Original,2,150,14.225499153137207
Original,2,160,15.533761024475098
Original,2,170,15.823675870895386
Original,2,180,15.7774178981781
Original,2,190,15.67418885231018
Original,2,200,15.763059854507446
Original,2,210,15.853498935699463
Original,2,220,15.612476348876953
Original,2,230,15.587636947631836
Original,2,240,15.708826303482056
Original,2,250,15.939347982406616
Original,2,260,15.734809875488281
Original,2,270,15.747087955474854
Original,2,280,15.572490930557251
Original,2,290,15.866858005523682
Original,2,300,15.732337951660156
DataCenter,2,10,15.421154975891113
DataCenter,2,20,15.224467039108276
DataCenter,2,30,15.52639102935791
DataCenter,2,40,15.310270071029663
DataCenter,2,50,15.335560083389282
DataCenter,2,60,15.500499248504639
DataCenter,2,70,15.423149108886719
DataCenter,2,80,15.468297004699707
DataCenter,2,90,15.59203314781189
DataCenter,2,100,15.708095788955688
DataCenter,2,110,15.847724199295044
DataCenter,2,120,15.457043170928955
DataCenter,2,130,15.834206104278564
DataCenter,2,140,15.738062143325806
DataCenter,2,150,15.470971822738647
DataCenter,2,160,15.570746898651123
DataCenter,2,170,15.684641122817993
DataCenter,2,180,16.699084997177124
DataCenter,2,190,14.423472166061401
DataCenter,2,200,15.691121816635132
DataCenter,2,210,15.59529995918274
DataCenter,2,220,15.899332761764526
DataCenter,2,230,15.604728937149048
DataCenter,2,240,15.611440181732178
DataCenter,2,250,15.917489051818848
DataCenter,2,260,15.778565168380737
DataCenter,2,270,15.748655080795288
DataCenter,2,280,15.668976068496704
DataCenter,2,290,15.70100212097168
DataCenter,2,300,15.916843175888062
Random,2,10,26.51846694946289
Random,2,20,23.76478123664856
Random,2,30,25.323223114013672
Random,2,40,26.006535053253174
Random,2,50,27.261754035949707
Random,2,60,26.86185598373413
Random,2,70,37.87969994544983
Random,2,80,26.517709732055664
Random,2,90,26.610073804855347
Random,2,100,26.766345262527466
Random,2,110,26.811985969543457
Random,2,120,37.99088406562805
Random,2,130,38.27653789520264
Random,2,140,27.146327018737793
Random,2,150,26.6520938873291
Random,2,160,27.21226406097412
Random,2,170,38.74442219734192
Random,2,180,26.58135986328125
Random,2,190,38.050456047058105
Random,2,200,26.559364795684814
Random,2,210,38.96952414512634
Random,2,220,24.854905128479004
Random,2,230,26.60352325439453
Random,2,240,26.713855028152466
Random,2,250,27.58590602874756
Random,2,260,26.918685913085938
Random,2,270,26.404733896255493
Random,2,280,27.071593046188354
Random,2,290,26.72516703605652
Random,2,300,26.582189798355103
