Method,K,gamma,time_cost
Original,4,10,23.447347402572632
Original,4,20,24.65854787826538
Original,4,30,26.645745992660522
Original,4,40,26.60749077796936
Original,4,50,27.008530855178833
Original,4,60,26.830528020858765
Original,4,70,26.65670418739319
Original,4,80,26.665200233459473
Original,4,90,26.688446044921875
Original,4,100,26.484272003173828
Original,4,110,26.399942874908447
Original,4,120,26.535444021224976
Original,4,130,26.835082054138184
Original,4,140,24.27836799621582
Original,4,150,26.598958730697632
Original,4,160,26.590781927108765
Original,4,170,27.121232986450195
Original,4,180,24.424384117126465
Original,4,190,24.37132692337036
Original,4,200,26.965184926986694
Original,4,210,27.160298824310303
Original,4,220,27.071899890899658
Original,4,230,26.054408073425293
Original,4,240,26.078336000442505
Original,4,250,26.727301120758057
Original,4,260,27.157830715179443
Original,4,270,26.873528003692627
Original,4,280,26.708895921707153
Original,4,290,26.80130887031555
Original,4,300,27.041401863098145
DataCenter,4,10,24.06945276260376
DataCenter,4,20,26.235358953475952
DataCenter,4,30,26.366634845733643
DataCenter,4,40,26.74487018585205
DataCenter,4,50,26.784241199493408
DataCenter,4,60,23.55177068710327
DataCenter,4,70,26.196051836013794
DataCenter,4,80,26.555485248565674
DataCenter,4,90,26.89420175552368
DataCenter,4,100,26.67595887184143
DataCenter,4,110,27.05834126472473
DataCenter,4,120,26.95897102355957
DataCenter,4,130,26.738913774490356
DataCenter,4,140,26.466567754745483
DataCenter,4,150,26.67674207687378
DataCenter,4,160,26.482124090194702
DataCenter,4,170,26.893086910247803
DataCenter,4,180,24.680975914001465
DataCenter,4,190,27.290558099746704
DataCenter,4,200,26.787755966186523
DataCenter,4,210,26.952157020568848
DataCenter,4,220,24.12551784515381
DataCenter,4,230,25.024110078811646
DataCenter,4,240,26.809342861175537
DataCenter,4,250,26.834094762802124
DataCenter,4,260,27.461250066757202
DataCenter,4,270,24.228024005889893
DataCenter,4,280,26.31621813774109
DataCenter,4,290,27.37280797958374
DataCenter,4,300,27.360581159591675
Random,4,10,93.70365309715271
Random,4,20,69.71818494796753
Random,4,30,70.53269600868225
Random,4,40,71.280757188797
Random,4,50,64.98340797424316
Random,4,60,69.70532393455505
Random,4,70,70.30991506576538
Random,4,80,69.75447392463684
Random,4,90,70.12431001663208
Random,4,100,70.96371126174927
Random,4,110,71.87131190299988
Random,4,120,64.49860000610352
Random,4,130,72.36516904830933
Random,4,140,70.81718111038208
Random,4,150,69.40176177024841
Random,4,160,68.98926591873169
Random,4,170,70.8130271434784
Random,4,180,71.47831678390503
Random,4,190,73.55361795425415
Random,4,200,72.22551703453064
Random,4,210,67.93885898590088
Random,4,220,72.37580895423889
Random,4,230,70.61539196968079
Random,4,240,71.19794511795044
Random,4,250,72.1446840763092
Random,4,260,72.05644702911377
Random,4,270,71.32757806777954
Random,4,280,71.4743390083313
Random,4,290,72.20836091041565
Random,4,300,72.1564450263977
