Method,K,time_cost
ClusterMedian,1,0.28469276428222656
ClusterMedian,2,0.2917819023132324
ClusterMedian,3,0.31623029708862305
ClusterMedian,4,0.3418431282043457
ClusterMedian,5,0.3377039432525635
ClusterMedian,6,0.35681891441345215
RandomDataPoint,1,0.27171802520751953
RandomDataPoint,2,0.3770020008087158
RandomDataPoint,3,0.3105621337890625
RandomDataPoint,4,0.36859917640686035
RandomDataPoint,5,0.33678293228149414
RandomDataPoint,6,0.35466718673706055
Random,1,0.2875661849975586
Random,2,0.33696913719177246
Random,3,0.32418203353881836
Random,4,0.33884716033935547
Random,5,0.37195587158203125
Random,6,0.3865811824798584
