Method,K,gamma,time_cost
ClusterMedian,2,5,5.8963470458984375
ClusterMedian,2,7,5.235145092010498
ClusterMedian,2,9,5.758474111557007
ClusterMedian,2,11,6.102941989898682
ClusterMedian,2,13,5.323994159698486
ClusterMedian,2,15,5.78401517868042
ClusterMedian,2,17,5.793570041656494
ClusterMedian,2,19,5.384692907333374
ClusterMedian,2,21,5.623587131500244
ClusterMedian,2,23,5.766664028167725
ClusterMedian,2,25,5.876720905303955
ClusterMedian,2,27,5.838238954544067
ClusterMedian,2,29,5.854655981063843
ClusterMedian,2,31,5.61141300201416
ClusterMedian,2,33,5.835033178329468
ClusterMedian,2,35,5.7078869342803955
ClusterMedian,2,37,5.544924974441528
ClusterMedian,2,39,5.293058156967163
ClusterMedian,2,41,5.216133117675781
ClusterMedian,2,43,5.199944257736206
ClusterMedian,2,45,5.2158637046813965
ClusterMedian,2,47,5.191536903381348
ClusterMedian,2,49,5.202255964279175
ClusterMedian,2,51,5.293426990509033
ClusterMedian,2,53,5.223351001739502
ClusterMedian,2,55,5.235853910446167
ClusterMedian,2,57,5.238994121551514
ClusterMedian,2,59,5.674015045166016
ClusterMedian,2,61,5.971507787704468
ClusterMedian,2,63,5.327145099639893
ClusterMedian,2,65,5.3469460010528564
ClusterMedian,2,67,5.248695135116577
ClusterMedian,2,69,5.249303102493286
ClusterMedian,2,71,5.301874876022339
ClusterMedian,2,73,5.271379232406616
ClusterMedian,2,75,5.260451078414917
ClusterMedian,2,77,5.249543905258179
ClusterMedian,2,79,5.262824773788452
ClusterMedian,2,81,5.937687873840332
ClusterMedian,2,83,6.211495876312256
ClusterMedian,2,85,5.7004969120025635
ClusterMedian,2,87,5.357639312744141
ClusterMedian,2,89,5.433736801147461
ClusterMedian,2,91,5.451231002807617
ClusterMedian,2,93,5.427466154098511
ClusterMedian,2,95,5.2638099193573
ClusterMedian,2,97,5.2325661182403564
ClusterMedian,2,99,5.24776291847229
ClusterMedian,2,101,5.422526836395264
ClusterMedian,2,103,5.359602928161621
ClusterMedian,2,105,5.404588222503662
ClusterMedian,2,107,5.365080118179321
ClusterMedian,2,109,5.303212642669678
ClusterMedian,2,111,5.454045057296753
ClusterMedian,2,113,5.620511054992676
ClusterMedian,2,115,5.361729145050049
ClusterMedian,2,117,5.652783155441284
ClusterMedian,2,119,5.681582927703857
ClusterMedian,2,121,5.655089855194092
ClusterMedian,2,123,5.7971179485321045
ClusterMedian,2,125,6.837646007537842
ClusterMedian,2,127,7.088054656982422
ClusterMedian,2,129,6.202427864074707
ClusterMedian,2,131,6.229991912841797
ClusterMedian,2,133,6.479987859725952
ClusterMedian,2,135,6.509360074996948
ClusterMedian,2,137,5.982393026351929
ClusterMedian,2,139,5.578449964523315
ClusterMedian,2,141,5.554255962371826
ClusterMedian,2,143,5.739804267883301
ClusterMedian,2,145,5.764541149139404
ClusterMedian,2,147,5.757673025131226
ClusterMedian,2,149,6.193463087081909
RandomDataPoint,2,5,5.59564208984375
RandomDataPoint,2,7,6.0392749309539795
RandomDataPoint,2,9,5.780945062637329
RandomDataPoint,2,11,5.453131914138794
RandomDataPoint,2,13,5.442625045776367
RandomDataPoint,2,15,5.222266674041748
RandomDataPoint,2,17,5.125951051712036
RandomDataPoint,2,19,5.1267991065979
RandomDataPoint,2,21,5.7889087200164795
RandomDataPoint,2,23,5.385542869567871
RandomDataPoint,2,25,5.434370279312134
RandomDataPoint,2,27,5.677557945251465
RandomDataPoint,2,29,5.784308910369873
RandomDataPoint,2,31,5.852825164794922
RandomDataPoint,2,33,5.276885986328125
RandomDataPoint,2,35,5.321938991546631
RandomDataPoint,2,37,5.22621488571167
RandomDataPoint,2,39,5.207080841064453
RandomDataPoint,2,41,5.185446262359619
RandomDataPoint,2,43,5.503252983093262
RandomDataPoint,2,45,5.2466771602630615
RandomDataPoint,2,47,5.587888717651367
RandomDataPoint,2,49,5.220121145248413
RandomDataPoint,2,51,5.202699184417725
RandomDataPoint,2,53,5.3086559772491455
RandomDataPoint,2,55,5.289155006408691
RandomDataPoint,2,57,5.238195896148682
RandomDataPoint,2,59,5.169549226760864
RandomDataPoint,2,61,5.310014009475708
RandomDataPoint,2,63,5.447375059127808
RandomDataPoint,2,65,5.263852834701538
RandomDataPoint,2,67,5.71340799331665
RandomDataPoint,2,69,5.550301790237427
RandomDataPoint,2,71,5.473177194595337
RandomDataPoint,2,73,5.533064842224121
RandomDataPoint,2,75,5.608177900314331
RandomDataPoint,2,77,5.628486156463623
RandomDataPoint,2,79,5.773788928985596
RandomDataPoint,2,81,5.765679836273193
RandomDataPoint,2,83,5.400446891784668
RandomDataPoint,2,85,5.584761142730713
RandomDataPoint,2,87,5.65446400642395
RandomDataPoint,2,89,5.781721830368042
RandomDataPoint,2,91,5.790472984313965
RandomDataPoint,2,93,5.569209098815918
RandomDataPoint,2,95,5.516878843307495
RandomDataPoint,2,97,5.417090892791748
RandomDataPoint,2,99,5.696892023086548
RandomDataPoint,2,101,5.671778917312622
RandomDataPoint,2,103,5.513304233551025
RandomDataPoint,2,105,5.664265394210815
RandomDataPoint,2,107,5.743902921676636
RandomDataPoint,2,109,5.560445070266724
RandomDataPoint,2,111,5.3358190059661865
RandomDataPoint,2,113,5.3233489990234375
RandomDataPoint,2,115,5.253893852233887
RandomDataPoint,2,117,5.47762393951416
RandomDataPoint,2,119,5.567055702209473
RandomDataPoint,2,121,5.703813791275024
RandomDataPoint,2,123,5.526486158370972
RandomDataPoint,2,125,5.595376014709473
RandomDataPoint,2,127,5.913708686828613
RandomDataPoint,2,129,5.8965208530426025
