Method,K,gamma,time_cost
ClusterMedian,3,5,5.796635866165161
ClusterMedian,3,7,5.838271141052246
ClusterMedian,3,9,5.46068000793457
ClusterMedian,3,11,5.591474771499634
ClusterMedian,3,13,5.80585503578186
ClusterMedian,3,15,5.710299015045166
ClusterMedian,3,17,5.596207141876221
ClusterMedian,3,19,5.405249118804932
ClusterMedian,3,21,5.36974310874939
ClusterMedian,3,23,5.632311820983887
ClusterMedian,3,25,5.70383620262146
ClusterMedian,3,27,5.627756118774414
ClusterMedian,3,29,6.456300973892212
ClusterMedian,3,31,6.537198781967163
ClusterMedian,3,33,6.1958327293396
ClusterMedian,3,35,6.595902919769287
ClusterMedian,3,37,6.501178979873657
ClusterMedian,3,39,6.217590093612671
ClusterMedian,3,41,5.988379955291748
ClusterMedian,3,43,5.75973916053772
ClusterMedian,3,45,5.319729804992676
ClusterMedian,3,47,5.3613059520721436
ClusterMedian,3,49,5.273071765899658
ClusterMedian,3,51,5.192392110824585
ClusterMedian,3,53,5.236774921417236
ClusterMedian,3,55,5.259876012802124
ClusterMedian,3,57,5.216856956481934
ClusterMedian,3,59,5.0575852394104
ClusterMedian,3,61,5.089635848999023
ClusterMedian,3,63,5.194679021835327
ClusterMedian,3,65,5.269787311553955
ClusterMedian,3,67,5.479027986526489
ClusterMedian,3,69,6.148346185684204
ClusterMedian,3,71,5.577325105667114
ClusterMedian,3,73,5.3659751415252686
ClusterMedian,3,75,5.349467039108276
ClusterMedian,3,77,5.416633129119873
ClusterMedian,3,79,5.432975769042969
ClusterMedian,3,81,5.402162790298462
ClusterMedian,3,83,5.2000792026519775
ClusterMedian,3,85,5.244312047958374
ClusterMedian,3,87,5.26000189781189
ClusterMedian,3,89,5.253505706787109
ClusterMedian,3,91,5.194095134735107
ClusterMedian,3,93,5.2378058433532715
ClusterMedian,3,95,5.252458095550537
ClusterMedian,3,97,5.24448299407959
ClusterMedian,3,99,5.226439952850342
ClusterMedian,3,101,5.257426977157593
ClusterMedian,3,103,5.207427978515625
ClusterMedian,3,105,5.091681957244873
